1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	31.697507	0.000000	0.486324	0.970390	21398.3
1	31.916164	0.000000	0.486324	0.910114	92.4
2	30.998301	0.000000	0.486324	0.752829	95.8
3	30.895125	0.000000	0.486324	0.666308	92.3
4	31.149873	0.000000	0.486324	0.651988	96.2
5	30.846304	0.000000	0.486324	0.585851	91.2
6	30.318423	0.000000	0.486324	0.477166	91.7
7	30.389102	0.000000	0.486324	0.480714	89.9
8	30.121194	0.000000	0.486324	0.463688	90.1
9	30.149917	0.000000	0.486324	0.417182	88.7
10	30.289510	0.000000	0.486324	0.414105	91.6
11	29.852472	0.000000	0.486324	0.403077	88.9
12	30.155643	0.000000	0.486324	0.366251	88.3
13	30.001158	0.000000	0.486324	0.341132	88.9
14	29.956691	0.000000	0.486324	0.339136	89.2
15	29.904008	0.000000	0.486324	0.290756	100.3
16	29.660705	0.000000	0.486324	0.273032	87.5
17	29.935817	0.000000	0.486324	0.281788	88.1
18	29.783609	0.000000	0.486324	0.242051	86.9
19	29.970387	0.000000	0.486324	0.268204	87.8
20	29.545870	0.000000	0.486324	0.216989	86.1
21	29.758297	0.000000	0.486324	0.227485	91.8
22	29.515812	0.000000	0.486324	0.203726	88.0
23	29.984820	0.000000	0.486324	0.215268	88.0
24	30.217045	0.000000	0.486324	0.230765	87.0
25	29.441659	0.000000	0.486324	0.217219	87.0
26	29.829904	0.000000	0.486324	0.193786	86.7
27	29.808777	0.000000	0.486324	0.158608	87.1
28	29.692029	0.000000	0.486324	0.189936	89.1
29	29.574133	0.000000	0.486324	0.186193	88.1
30	29.986165	0.000000	0.486324	0.185533	87.1
31	30.038144	0.000000	0.486324	0.180604	86.6
32	29.550211	0.000000	0.486324	0.173441	93.9
33	29.492737	0.000000	0.486324	0.145355	91.3
34	29.848608	0.000000	0.486324	0.147823	111.8
35	29.849473	0.000000	0.486324	0.167095	98.6
36	29.795556	0.000000	0.486324	0.166003	86.5
37	29.590221	0.000000	0.486324	0.156862	86.3
38	29.961283	0.000000	0.486324	0.157349	85.6
39	29.402108	0.000000	0.486324	0.144806	87.1
40	29.505284	0.063315	0.484862	0.154771	85.2
41	29.848748	0.032450	0.485573	0.151856	87.1
42	29.841124	0.021429	0.485828	0.139248	85.7
43	29.562993	0.014705	0.485983	0.132458	90.2
44	29.334291	0.010666	0.486077	0.130604	85.1
45	29.749549	0.000000	0.486324	0.150418	88.5
46	29.588996	0.000000	0.486324	0.143147	86.3
47	29.891575	0.012704	0.486030	0.127086	87.4
48	29.771857	0.042789	0.485335	0.135758	85.9
49	29.586468	0.086027	0.484340	0.121753	87.6
50	29.616547	0.119314	0.483576	0.126092	86.5
51	29.468652	0.091992	0.484203	0.145582	100.2
52	29.894829	0.059717	0.484945	0.139212	85.2
53	29.850713	0.086282	0.484334	0.139022	85.6
54	29.765438	0.056125	0.485027	0.134314	89.9
55	29.671742	0.152314	0.482822	0.138691	88.1
56	29.499789	0.130759	0.483314	0.141706	87.3
57	30.250521	0.191448	0.481930	0.140759	90.7
58	29.692541	0.233072	0.480985	0.131957	86.2
59	30.007282	0.472984	0.475612	0.145756	87.7
60	30.096913	0.632148	0.472112	0.148838	86.1
61	29.406165	0.640871	0.471922	0.137882	87.1
62	29.521617	0.720982	0.470181	0.128596	85.1
63	30.106903	0.702687	0.470578	0.130449	86.0
64	29.627858	0.734914	0.469880	0.140262	85.7
65	29.818874	0.892907	0.466489	0.154630	85.7
66	29.657922	0.857633	0.467242	0.145961	90.8
67	30.077286	0.955638	0.465156	0.163904	87.2
68	29.734724	1.592259	0.452049	0.128227	87.2
